DATE,0,1,2,3,4,Average
2015-03-05,,,0.14,,0.04,0.09000000000000001
2015-03-06,,,0.0,,0.0,0.0
2015-03-07,,,,,,
2015-03-08,,,0.0,,,0.0
2015-03-09,,,0.08,,,0.08
2015-03-10,,,0.02,,,0.02
2015-03-11,,,0.28,,,0.28
2015-03-12,,,0.24,,,0.24
2015-03-13,,,0.14,,,0.14
2015-03-14,,,0.0,,,0.0
2015-03-15,,,0.01,,0.07,0.04
2015-03-16,,,,,,
2015-03-17,,,0.0,,2.09,1.045
2015-03-18,,,,,0.51,0.51
2015-03-19,,,,,0.22,0.22
2015-03-20,,,,,0.06,0.06
2015-03-21,,,,,0.0,0.0
2015-03-22,,,0.0,,,0.0
2015-03-23,,,0.04,,,0.04
2015-03-24,,,,,,
2015-03-25,,,0.09,,,0.09
2015-03-26,,,0.03,,0.52,0.275
2015-03-27,,,,,,
2015-03-28,,,,,,
2015-03-29,,,,,0.68,0.68
2015-03-30,,0.03,0.0,,0.02,0.016666666666666666
2015-03-31,,0.28,0.0,,,0.14
2015-04-01,,0.65,0.0,,0.02,0.22333333333333336
2015-04-02,,0.03,,,0.92,0.47500000000000003
2015-04-03,,0.02,,,1.37,0.6950000000000001
2015-04-04,,0.0,,,0.72,0.36
2015-04-05,,,,,1.31,1.31
2015-04-06,,,,,0.72,0.72
2015-04-07,,,0.64,,0.24,0.44
2015-04-08,,,0.68,,0.09,0.385
2015-04-09,,,0.2,,0.0,0.1
2015-04-10,,,0.74,,,0.74
2015-04-11,,0.64,0.37,,,0.505
2015-04-12,,0.01,0.23,,,0.12000000000000001
2015-04-13,,,0.0,,,0.0
2015-04-14,,,,,,
2015-04-15,,,,,0.05,0.05
2015-04-16,,,,,,
2015-04-17,,,,,,
2015-04-18,,,,,0.07,0.07
2015-04-19,,0.0,0.0,,0.24,0.08
2015-04-20,,,1.13,,,1.13
2015-04-21,,,,,,
2015-04-22,,,,,,
2015-04-23,,,0.01,,,0.01
2015-04-24,,,0.04,,,0.04
2015-04-25,,,0.06,,,0.06
2015-04-26,,,0.18,,,0.18
2015-04-27,,0.04,,,,0.04
2015-04-28,,,,,,
2015-04-29,,,0.54,,,0.54
2015-04-30,,,,,,
2015-05-01,,0.36,0.48,,1.78,0.8733333333333334
2015-05-02,,0.0,,,0.0,0.0
2015-05-03,,0.0,1.57,,0.0,0.5233333333333333
2015-05-04,,,3.43,,,3.43
2015-05-05,,,0.68,,0.0,0.34
2015-05-06,,,3.13,,,3.13
2015-05-07,,,4.15,,0.04,2.095
2015-05-08,,,0.07,,0.6,0.33499999999999996
2015-05-09,,0.0,1.47,,0.09,0.52
2015-05-10,,0.98,,,0.04,0.51
2015-05-11,,,1.75,,0.07,0.91
2015-05-12,,0.0,1.6,,0.04,0.5466666666666667
2015-05-13,,,0.0,,0.0,0.0
2015-05-14,,,0.0,,2.18,1.09
2015-05-15,,,0.57,,0.21,0.38999999999999996
2015-05-16,,0.0,1.04,,0.04,0.36000000000000004
2015-05-17,,0.01,1.87,,0.06,0.6466666666666667
2015-05-18,,,0.07,,,0.07
2015-05-19,,,0.0,,,0.0
2015-05-20,,,2.5,,,2.5
2015-05-21,,,1.83,,,1.83
2015-05-22,,,0.22,,,0.22
2015-05-23,,,1.19,,,1.19
2015-05-24,,,0.52,,,0.52
2015-05-25,,,1.22,,0.61,0.915
2015-05-26,,,0.86,,0.09,0.475
2015-05-27,,,0.0,,0.0,0.0
2015-05-28,,0.03,,,0.2,0.115
2015-05-29,,,0.0,,0.63,0.315
2015-05-30,,0.0,2.14,,,1.07
2015-05-31,,,1.04,,,1.04
2015-06-01,,,1.05,,1.37,1.21
2015-06-02,,0.0,0.07,,0.08,0.05000000000000001
2015-06-03,,,,,0.06,0.06
2015-06-04,,0.18,0.75,,0.01,0.3133333333333333
2015-06-05,,,1.61,,,1.61
2015-06-06,,0.03,0.06,,,0.045
2015-06-07,,0.0,,,1.97,0.985
