???????????,,,,,,,,
,,,,,,,,
??? : 2015-01-01 ~ 2025-01-24 ?? : ??(??) USD [???? : 2025-01-31 13:57:07],,,,,,,,
??,1?,??????,10?,1??,2??,3??,6??,12??
2024-06-10,0.00549,0.00002,0.01735,0.02515,0.03556,0.04355,0.06160,0.08711
2024-06-07,0.00547,0.00000,0.01730,0.02508,0.03546,0.04344,0.06143,0.08687
2024-06-05,0.00547,0.00000,0.01731,0.02508,0.03547,0.04345,0.06144,0.08690
2024-06-04,0.00547,-0.00001,0.01729,0.02505,0.03543,0.04339,0.06136,0.08678
2024-06-03,0.00548,0.00000,0.01734,0.02512,0.03553,0.04352,0.06154,0.08704
2024-05-31,0.00548,0.00001,0.01732,0.02511,0.03550,0.04348,0.06149,0.08697
2024-05-30,0.00547,0.00000,0.01730,0.02508,0.03546,0.04343,0.06143,0.08687
2024-05-29,0.00547,-0.00001,0.01730,0.02506,0.03544,0.04341,0.06139,0.08682
2024-05-28,0.00548,0.00000,0.01734,0.02512,0.03553,0.04352,0.06154,0.08703
2024-05-27,0.00548,0.00001,0.01734,0.02513,0.03553,0.04352,0.06155,0.08704
2024-05-24,0.00547,0.00000,0.01731,0.02508,0.03547,0.04345,0.06144,0.08689
2024-05-23,0.00547,0.00000,0.01730,0.02507,0.03546,0.04343,0.06142,0.08686
2024-05-22,0.00547,-0.00001,0.01731,0.02508,0.03547,0.04344,0.06143,0.08688
2024-05-21,0.00548,0.00000,0.01733,0.02512,0.03553,0.04351,0.06153,0.08702
2024-05-20,0.00548,0.00000,0.01733,0.02511,0.03551,0.04350,0.06151,0.08699
2024-05-17,0.00548,0.00002,0.01733,0.02511,0.03551,0.04349,0.06151,0.08699
2024-05-16,0.00546,0.00011,0.01725,0.02500,0.03535,0.04330,0.06123,0.08660
2024-05-14,0.00535,-0.00003,0.01693,0.02453,0.03470,0.04249,0.06009,0.08499
2024-05-13,0.00538,-0.00001,0.01700,0.02463,0.03484,0.04266,0.06034,0.08533
2024-05-10,0.00539,0.00001,0.01703,0.02469,0.03491,0.04276,0.06047,0.08551
2024-05-09,0.00538,0.00000,0.01703,0.02467,0.03489,0.04274,0.06044,0.08547
2024-05-08,0.00538,0.00000,0.01700,0.02463,0.03484,0.04267,0.06034,0.08533
2024-05-07,0.00538,0.00000,0.01700,0.02464,0.03484,0.04267,0.06035,0.08534
2024-05-03,0.00538,0.00005,0.01700,0.02464,0.03484,0.04267,0.06035,0.08534
2024-05-02,0.00533,0.00000,0.01686,0.02443,0.03455,0.04232,0.05985,0.08464
2024-04-30,0.00533,0.00000,0.01687,0.02444,0.03456,0.04233,0.05987,0.08467
2024-04-29,0.00533,-0.00002,0.01686,0.02443,0.03455,0.04232,0.05985,0.08464
2024-04-26,0.00535,-0.00006,0.01691,0.02451,0.03466,0.04244,0.06003,0.08489
